ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000084234	ENSG00000177606	0.57	PPI	undirected	PIA
ENSG00000167552	ENSG00000177606	0.40	PPI	undirected	PIA
ENSG00000134954	ENSG00000177606	0.52	PPI	undirected	PIA
ENSG00000123358	ENSG00000121769	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000168495	0.40	PPI	undirected	PIA
ENSG00000113580	ENSG00000138385	0.40	PPI	undirected	PIA
ENSG00000151967	ENSG00000138385	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000168530	0.35	PPI	undirected	PIA
ENSG00000104687	ENSG00000139687	0.40	PPI	undirected	PIA
ENSG00000138660	ENSG00000139687	0.40	PPI	undirected	PIA
ENSG00000104722	ENSG00000139687	0.52	PPI	undirected	PIA
ENSG00000115053	ENSG00000139687	0.40	PPI	undirected	PIA
ENSG00000108387	ENSG00000139687	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000181163	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000111716	0.52	PPI	undirected	PIA
ENSG00000169750	ENSG00000111716	0.40	PPI	undirected	PIA
ENSG00000151967	ENSG00000277586	0.40	PPI	undirected	PIA
ENSG00000232810	ENSG00000277586	0.40	PPI	undirected	PIA
ENSG00000139687	ENSG00000104722	0.52	PPI	undirected	PIA
ENSG00000169750	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000134954	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000175387	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000170345	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000177606	ENSG00000104722	0.40	PPI	undirected	PIA
ENSG00000134954	ENSG00000125817	0.40	PPI	undirected	PIA
ENSG00000113580	ENSG00000125817	0.40	PPI	undirected	PIA
ENSG00000186868	ENSG00000185624	0.46	PPI	undirected	PIA
ENSG00000135679	ENSG00000196230	0.40	PPI	undirected	PIA
ENSG00000188906	ENSG00000196230	0.67	PPI	undirected	PIA
ENSG00000154237	ENSG00000196230	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000196230	0.67	PPI	undirected	PIA
ENSG00000188906	ENSG00000196230	0.67	PPI	undirected	PIA
ENSG00000124214	ENSG00000196230	0.43	PPI	undirected	PIA
ENSG00000188906	ENSG00000136628	0.35	PPI	undirected	PIA
ENSG00000188906	ENSG00000080824	0.73	PPI	undirected	PIA
ENSG00000188906	ENSG00000080824	0.73	PPI	undirected	PIA
ENSG00000143418	ENSG00000080824	0.52	PPI	undirected	PIA
ENSG00000103266	ENSG00000080824	0.83	PPI	undirected	PIA
ENSG00000143418	ENSG00000080824	0.52	PPI	undirected	PIA
ENSG00000103266	ENSG00000080824	0.83	PPI	undirected	PIA
ENSG00000188906	ENSG00000080824	0.73	PPI	undirected	PIA
