ensg1	ensg2	score	interaction
ENSG00000141510	ENSG00000135679	0.64	PPI
ENSG00000107485	ENSG00000136997	0.53	PPI
ENSG00000096717	ENSG00000136997	0.46	PPI
ENSG00000188486	ENSG00000136997	0.46	PPI
ENSG00000106462	ENSG00000136997	0.46	PPI
ENSG00000130816	ENSG00000136997	0.46	PPI
ENSG00000168610	ENSG00000136997	0.53	PPI
ENSG00000157554	ENSG00000142515	0.53	PPI
ENSG00000169083	ENSG00000142515	0.88	PPI
ENSG00000101412	ENSG00000145386	0.53	PPI
ENSG00000091831	ENSG00000160182	0.73	PPI
ENSG00000168610	ENSG00000168610	0.53	PPI
ENSG00000168036	ENSG00000168646	0.53	PPI
ENSG00000173039	ENSG00000169429	0.79	PPI
ENSG00000005339	ENSG00000169429	0.53	PPI
ENSG00000095794	ENSG00000170345	0.53	PPI
ENSG00000181472	ENSG00000173039	0.52	PPI
ENSG00000185591	ENSG00000173039	0.52	PPI
ENSG00000169083	ENSG00000184012	0.79	PPI
ENSG00000157554	ENSG00000184012	0.53	PPI
ENSG00000136931	ENSG00000203859	0.46	PPI
ENSG00000172216	ENSG00000203859	0.46	PPI
ENSG00000129355	ENSG00000153234	0.56	PPI
ENSG00000100109	ENSG00000105618	0.56	PPI
ENSG00000234414	ENSG00000105618	0.56	PPI
ENSG00000176903	ENSG00000105618	0.56	PPI
ENSG00000198466	ENSG00000105618	0.56	PPI
ENSG00000204889	ENSG00000105618	0.56	PPI
ENSG00000171346	ENSG00000105618	0.56	PPI
ENSG00000104964	ENSG00000105618	0.56	PPI
ENSG00000151338	ENSG00000105618	0.56	PPI
ENSG00000187766	ENSG00000105618	0.56	PPI
ENSG00000178104	ENSG00000105618	0.56	PPI
ENSG00000112232	ENSG00000105618	0.56	PPI
ENSG00000226941	ENSG00000105618	0.56	PPI
ENSG00000135951	ENSG00000105618	0.56	PPI
ENSG00000132938	ENSG00000105618	0.56	PPI
ENSG00000165119	ENSG00000105618	0.56	PPI
ENSG00000167110	ENSG00000105618	0.56	PPI
ENSG00000169800	ENSG00000105618	0.56	PPI
ENSG00000176049	ENSG00000105618	0.56	PPI
ENSG00000196470	ENSG00000105618	0.56	PPI
ENSG00000204713	ENSG00000105618	0.56	PPI
ENSG00000114107	ENSG00000105618	0.56	PPI
ENSG00000136436	ENSG00000105618	0.56	PPI
ENSG00000176155	ENSG00000105618	0.56	PPI
ENSG00000135604	ENSG00000105618	0.56	PPI
ENSG00000117155	ENSG00000105618	0.56	PPI
ENSG00000179455	ENSG00000105618	0.56	PPI
ENSG00000264343	ENSG00000105618	0.56	PPI
ENSG00000171357	ENSG00000105618	0.56	PPI
ENSG00000168301	ENSG00000105618	0.56	PPI
ENSG00000276234	ENSG00000105618	0.56	PPI
ENSG00000182195	ENSG00000105618	0.56	PPI
ENSG00000164649	ENSG00000105618	0.56	PPI
ENSG00000221837	ENSG00000105618	0.56	PPI
ENSG00000173918	ENSG00000105618	0.56	PPI
ENSG00000139174	ENSG00000105618	0.56	PPI
ENSG00000166946	ENSG00000143621	0.56	PPI
ENSG00000185880	ENSG00000128422	0.56	PPI
ENSG00000104964	ENSG00000135083	0.56	PPI
ENSG00000187766	ENSG00000135083	0.56	PPI
ENSG00000197683	ENSG00000135083	0.56	PPI
ENSG00000142698	ENSG00000135083	0.56	PPI
ENSG00000127191	ENSG00000135083	0.56	PPI
ENSG00000162924	ENSG00000135083	0.56	PPI
ENSG00000112559	ENSG00000111224	0.56	PPI
ENSG00000158552	ENSG00000277726	0.56	PPI
ENSG00000158552	ENSG00000120948	0.56	PPI
ENSG00000004939	ENSG00000147889	0.58	PPI
ENSG00000017797	ENSG00000105619	0.56	PPI
ENSG00000092200	ENSG00000105619	0.56	PPI
ENSG00000108309	ENSG00000105619	0.56	PPI
ENSG00000170788	ENSG00000105619	0.56	PPI
ENSG00000137193	ENSG00000105619	0.56	PPI
ENSG00000205208	ENSG00000105619	0.56	PPI
ENSG00000143549	ENSG00000105619	0.56	PPI
ENSG00000100109	ENSG00000105619	0.56	PPI
ENSG00000165325	ENSG00000105619	0.56	PPI
ENSG00000171345	ENSG00000105619	0.56	PPI
ENSG00000135363	ENSG00000105619	0.56	PPI
ENSG00000104375	ENSG00000105619	0.56	PPI
ENSG00000152240	ENSG00000105619	0.56	PPI
ENSG00000123136	ENSG00000257390	0.56	PPI
ENSG00000137575	ENSG00000103154	0.56	PPI
ENSG00000198003	ENSG00000103154	0.56	PPI
ENSG00000133134	ENSG00000103154	0.56	PPI
ENSG00000104611	ENSG00000103154	0.56	PPI
ENSG00000187796	ENSG00000103154	0.56	PPI
ENSG00000152240	ENSG00000103154	0.56	PPI
ENSG00000113790	ENSG00000103154	0.56	PPI
ENSG00000072201	ENSG00000103154	0.56	PPI
ENSG00000204209	ENSG00000103154	0.56	PPI
ENSG00000112578	ENSG00000103154	0.56	PPI
ENSG00000118271	ENSG00000103154	0.56	PPI
ENSG00000116922	ENSG00000103154	0.56	PPI
ENSG00000135930	ENSG00000103154	0.56	PPI
ENSG00000156795	ENSG00000103154	0.56	PPI
ENSG00000162409	ENSG00000103154	0.56	PPI
ENSG00000170264	ENSG00000103154	0.56	PPI
ENSG00000105617	ENSG00000103154	0.56	PPI
ENSG00000140859	ENSG00000103154	0.56	PPI
ENSG00000132603	ENSG00000103154	0.56	PPI
ENSG00000136003	ENSG00000103154	0.56	PPI
ENSG00000166681	ENSG00000103154	0.56	PPI
ENSG00000138092	ENSG00000103154	0.56	PPI
ENSG00000104892	ENSG00000103154	0.56	PPI
ENSG00000120071	ENSG00000103154	0.56	PPI
ENSG00000119408	ENSG00000103154	0.56	PPI
ENSG00000248712	ENSG00000103154	0.56	PPI
ENSG00000106305	ENSG00000103154	0.56	PPI
ENSG00000179562	ENSG00000103154	0.56	PPI
ENSG00000137171	ENSG00000103154	0.56	PPI
ENSG00000204815	ENSG00000103154	0.56	PPI
ENSG00000272804	ENSG00000167967	0.56	PPI
ENSG00000215454	ENSG00000167967	0.56	PPI
ENSG00000122783	ENSG00000182150	0.56	PPI
ENSG00000139197	ENSG00000185684	0.56	PPI
ENSG00000101624	ENSG00000185684	0.56	PPI
ENSG00000182318	ENSG00000140987	0.56	PPI
ENSG00000106261	ENSG00000140987	0.56	PPI
ENSG00000127191	ENSG00000140987	0.56	PPI
ENSG00000079999	ENSG00000140987	0.56	PPI
ENSG00000158691	ENSG00000140987	0.56	PPI
ENSG00000172466	ENSG00000140987	0.64	PPI
ENSG00000187626	ENSG00000140987	0.56	PPI
ENSG00000184507	ENSG00000120071	0.56	PPI
ENSG00000140859	ENSG00000120071	0.56	PPI
ENSG00000204713	ENSG00000120071	0.56	PPI
ENSG00000176903	ENSG00000120071	0.56	PPI
ENSG00000076382	ENSG00000120071	0.56	PPI
ENSG00000140743	ENSG00000120071	0.56	PPI
ENSG00000076604	ENSG00000120071	0.56	PPI
ENSG00000171346	ENSG00000120071	0.56	PPI
ENSG00000095066	ENSG00000120071	0.56	PPI
ENSG00000114107	ENSG00000120071	0.56	PPI
ENSG00000167110	ENSG00000120071	0.56	PPI
ENSG00000213401	ENSG00000120071	0.56	PPI
ENSG00000213024	ENSG00000120071	0.56	PPI
ENSG00000136436	ENSG00000120071	0.56	PPI
ENSG00000196628	ENSG00000254647	0.56	PPI
ENSG00000156795	ENSG00000240972	0.56	PPI
ENSG00000264343	ENSG00000082781	0.56	PPI
ENSG00000132938	ENSG00000082781	0.56	PPI
ENSG00000221837	ENSG00000082781	0.56	PPI
ENSG00000187766	ENSG00000082781	0.56	PPI
ENSG00000204889	ENSG00000082781	0.56	PPI
ENSG00000114745	ENSG00000018510	0.56	PPI
ENSG00000138709	ENSG00000068796	0.56	PPI
ENSG00000143702	ENSG00000068796	0.53	PPI
ENSG00000148541	ENSG00000068796	0.56	PPI
ENSG00000204822	ENSG00000068796	0.56	PPI
ENSG00000105404	ENSG00000118515	0.49	PPI
ENSG00000118260	ENSG00000118515	0.49	PPI
ENSG00000130066	ENSG00000123136	0.56	PPI
ENSG00000205323	ENSG00000123136	0.67	PPI
ENSG00000147601	ENSG00000123136	0.51	PPI
ENSG00000131931	ENSG00000097021	0.56	PPI
ENSG00000135018	ENSG00000097021	0.56	PPI
