ensg1	ensg2	score	interaction	direction	evidence_code
ENSG00000105649	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000148737	ENSG00000080815	0.53	PPI	undirected	ADIA
ENSG00000080815	ENSG00000080815	0.44	PPI	undirected	ADIA
ENSG00000130159	ENSG00000080815	0.58	PPI	undirected	ADIA
ENSG00000114491	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000148737	ENSG00000080815	0.53	PPI	undirected	ADIA
ENSG00000111640	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000133246	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000143801	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000137824	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000080815	ENSG00000080815	0.44	PPI	undirected	ADIA
ENSG00000148737	ENSG00000080815	0.53	PPI	undirected	ADIA
ENSG00000105607	ENSG00000080815	0.48	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.63	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.63	PPI	undirected	ADIA
ENSG00000173801	ENSG00000080815	0.62	PPI	undirected	ADIA
ENSG00000130159	ENSG00000080815	0.58	PPI	undirected	ADIA
ENSG00000168036	ENSG00000080815	0.52	PPI	undirected	ADIA
ENSG00000083720	ENSG00000080815	0.37	PPI	undirected	ADIA
ENSG00000142192	ENSG00000080815	0.63	PPI	undirected	ADIA
ENSG00000148737	ENSG00000080815	0.53	PPI	undirected	ADIA
ENSG00000148737	ENSG00000080815	0.53	PPI	undirected	ADIA
ENSG00000162736	ENSG00000080815	0.40	PPI	undirected	ADIA
ENSG00000197102	ENSG00000143801	0.48	PPI	undirected	ADIA
ENSG00000138613	ENSG00000143801	0.40	PPI	undirected	ADIA
ENSG00000255302	ENSG00000143801	0.37	PPI	undirected	ADIA
ENSG00000130159	ENSG00000143801	0.52	PPI	undirected	ADIA
ENSG00000150593	ENSG00000143801	0.48	PPI	undirected	ADIA
ENSG00000117362	ENSG00000143801	0.40	PPI	undirected	ADIA
ENSG00000162736	ENSG00000143801	0.40	PPI	undirected	ADIA
ENSG00000142192	ENSG00000143801	0.40	PPI	undirected	ADIA
ENSG00000150593	ENSG00000143801	0.48	PPI	undirected	ADIA
ENSG00000150593	ENSG00000143801	0.48	PPI	undirected	ADIA
ENSG00000142192	ENSG00000105723	0.44	PPI	undirected	ADIA
ENSG00000142192	ENSG00000105723	0.44	PPI	undirected	ADIA
ENSG00000164924	ENSG00000082701	0.40	PPI	undirected	ADIA
ENSG00000188906	ENSG00000082701	0.65	PPI	undirected	ADIA
ENSG00000164924	ENSG00000082701	0.40	PPI	undirected	ADIA
ENSG00000188906	ENSG00000082701	0.65	PPI	undirected	ADIA
ENSG00000186868	ENSG00000082701	0.74	PPI	undirected	ADIA
ENSG00000164867	ENSG00000100380	0.48	PPI	undirected	ADIA
