ensg1	ensg2
ENSG00000072694	ENSG00000162951
ENSG00000073712	ENSG00000074800
ENSG00000073756	ENSG00000117600
ENSG00000073756	ENSG00000124529
ENSG00000073756	ENSG00000150086
ENSG00000073756	ENSG00000153956
ENSG00000073756	ENSG00000162951
ENSG00000073756	ENSG00000166257
ENSG00000073756	ENSG00000171208
ENSG00000073756	ENSG00000174437
ENSG00000073756	ENSG00000174938
ENSG00000073756	ENSG00000198692
ENSG00000073849	ENSG00000118777
ENSG00000073969	ENSG00000074590
ENSG00000073969	ENSG00000092621
ENSG00000073969	ENSG00000104361
ENSG00000073969	ENSG00000107679
ENSG00000073969	ENSG00000113327
ENSG00000073969	ENSG00000123119
ENSG00000073969	ENSG00000131773
ENSG00000073969	ENSG00000133083
ENSG00000073969	ENSG00000138134
ENSG00000073969	ENSG00000144285
ENSG00000073969	ENSG00000148798
ENSG00000073969	ENSG00000154917
ENSG00000073969	ENSG00000164794
ENSG00000073969	ENSG00000164830
ENSG00000073969	ENSG00000164951
ENSG00000073969	ENSG00000165209
ENSG00000073969	ENSG00000165795
ENSG00000073969	ENSG00000176928
ENSG00000073969	ENSG00000182621
ENSG00000073969	ENSG00000183807
ENSG00000073969	ENSG00000196542
ENSG00000073969	ENSG00000198739
ENSG00000073969	ENSG00000213190
ENSG00000074317	ENSG00000105223
ENSG00000074317	ENSG00000154277
ENSG00000074317	ENSG00000159720
ENSG00000074590	ENSG00000105223
ENSG00000074590	ENSG00000105409
ENSG00000074590	ENSG00000117069
ENSG00000074590	ENSG00000127824
ENSG00000074590	ENSG00000145934
ENSG00000074590	ENSG00000154277
ENSG00000074590	ENSG00000159720
ENSG00000074590	ENSG00000164885
ENSG00000074590	ENSG00000170027
ENSG00000074706	ENSG00000117069
ENSG00000074706	ENSG00000154277
ENSG00000074706	ENSG00000159720
ENSG00000074706	ENSG00000164600
ENSG00000074706	ENSG00000164885
ENSG00000074706	ENSG00000170027
ENSG00000074706	ENSG00000197872
ENSG00000074800	ENSG00000087250
ENSG00000074800	ENSG00000101198
ENSG00000074800	ENSG00000124145
ENSG00000074800	ENSG00000125462
ENSG00000074800	ENSG00000125534
ENSG00000074800	ENSG00000132541
ENSG00000074800	ENSG00000160307
ENSG00000074800	ENSG00000164089
ENSG00000074800	ENSG00000165478
ENSG00000074800	ENSG00000200413
ENSG00000074800	ENSG00000259494
ENSG00000075213	ENSG00000117069
ENSG00000075213	ENSG00000139998
ENSG00000075213	ENSG00000164600
ENSG00000075213	ENSG00000164885
ENSG00000075213	ENSG00000165973
ENSG00000075213	ENSG00000196990
ENSG00000075223	ENSG00000105894
ENSG00000075223	ENSG00000110092
ENSG00000075223	ENSG00000142871
ENSG00000075426	ENSG00000132434
ENSG00000075426	ENSG00000134121
ENSG00000075426	ENSG00000150086
ENSG00000075426	ENSG00000166111
ENSG00000075426	ENSG00000166913
ENSG00000075426	ENSG00000176871
ENSG00000075461	ENSG00000104888
ENSG00000075461	ENSG00000105223
ENSG00000075461	ENSG00000106367
ENSG00000075461	ENSG00000108309
ENSG00000075461	ENSG00000117069
ENSG00000075461	ENSG00000117600
ENSG00000075461	ENSG00000132434
ENSG00000075461	ENSG00000134343
ENSG00000075461	ENSG00000150086
ENSG00000075461	ENSG00000157152
ENSG00000075461	ENSG00000161082
ENSG00000075461	ENSG00000164076
ENSG00000075461	ENSG00000164600
ENSG00000075461	ENSG00000164885
ENSG00000075461	ENSG00000165973
ENSG00000075461	ENSG00000166111
ENSG00000075461	ENSG00000166257
ENSG00000075461	ENSG00000169035
ENSG00000075461	ENSG00000170091
ENSG00000075461	ENSG00000171617
ENSG00000075461	ENSG00000174871
ENSG00000075461	ENSG00000179841
ENSG00000075461	ENSG00000186297
ENSG00000075461	ENSG00000186642
ENSG00000075461	ENSG00000197872
ENSG00000075461	ENSG00000221890
ENSG00000076555	ENSG00000085117
ENSG00000076555	ENSG00000111696
ENSG00000076555	ENSG00000132613
ENSG00000077092	ENSG00000105223
ENSG00000077092	ENSG00000117069
ENSG00000077238	ENSG00000118515
ENSG00000077238	ENSG00000143162
ENSG00000077238	ENSG00000189223
ENSG00000077238	ENSG00000236992
ENSG00000077420	ENSG00000101347
